DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Tor & E York,NK,Arterial,Clear,Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Clear,Fatal,Morning,Other
Scar,Adult,Arterial,Clear,Fatal,Morning,Motorcycle
Scar,NK,Arterial,Clear,Fatal,Morning,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Fatal,Night,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Fatal,Night,Other
Scar,Adult,Arterial,Clear,Fatal,Night,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,Other
Eto York,Adult,Arterial,Clear,Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Youth,Arterial,Clear,Fatal,Afternoon,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Child,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Senior,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,Adult,Collector,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Adult,Collector,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Youth,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
